,Predict,Low,Up
2037-05-01,453.86242361277533,442.25233117597895,465.4725160495717
2037-06-01,453.0883018482177,441.42351384583066,464.7530898506048
2037-07-01,451.4104639490573,439.69125147280914,463.1296764253055
2037-08-01,449.3251593015177,437.55178161782857,461.09853698520686
2037-09-01,447.8852368357434,436.05794574213996,459.71252792934683
2037-10-01,448.1535667930431,436.2726087553391,460.03452483074716
2037-11-01,449.6761128640477,437.74173009699473,461.61049563110066
2037-12-01,451.098218498866,439.10284840831434,463.09358858941766
2038-01-01,452.2927466574403,440.2395166859229,464.3459766289577
2038-02-01,453.03393234637184,440.9234389688451,465.14442572389856
2038-03-01,453.93268468328796,441.76551386737935,466.09985549919656
2038-04-01,455.47770659721124,443.2542496777365,467.701163516686
2038-05-01,456.07636558846673,443.7969469938464,468.35578418308705
2038-06-01,455.30253167620845,442.967436988817,467.6376263635999
2038-07-01,453.62531767049643,441.2348125854925,466.0158227555004
2038-08-01,451.54078843034756,439.0951271804282,463.9864496802669
2038-09-01,450.1014013906672,437.6008310094801,462.6019717718543
2038-10-01,450.36963157116344,437.81439398260204,462.92486915972484
2038-11-01,451.89161149300725,439.28194456539353,464.50127842062096
2038-12-01,453.31318832680796,440.6416767884364,465.9846998651795
2039-01-01,454.5072723076149,441.7769792097891,467.23756540544076
2039-02-01,455.2481823913193,442.45969177356125,468.03667300907733
2039-03-01,456.14660053284325,443.30048648173926,468.99271458394725
2039-04-01,457.6910479401052,444.7876939027392,470.5944019774712
2039-05-01,458.28948432378775,445.32920829232614,471.24976035524935
2039-06-01,457.51593815679274,444.4990201580369,470.5328561555486
2039-07-01,455.8393478125383,442.7660484897771,468.91264713529944
2039-08-01,453.75559369144986,440.6261625600951,466.8850248228046
2039-09-01,452.3167418787686,439.1314215027395,465.5020622547977
2039-10-01,452.5848723195627,439.3439003559586,465.82584428316676
2039-11-01,454.10628630276466,440.80989653154876,467.40267607398056
2039-12-01,455.52733453217905,442.1682506033245,468.8864184610336
2040-01-01,456.7209745003833,443.3021989562441,470.1397500445225
2040-02-01,457.46160908134254,443.9837143049106,470.93950385777447
